game,level,cases,raw_contract_rate,sanitized_contract_rate,action_parse_rate,position_parse_rate,row_match_rate,col_match_rate,exact_position_rate,had_think_rate,residual_think_rate,mean_latency_seconds,mean_input_tokens,mean_output_tokens,mean_total_tokens,total_input_tokens,total_output_tokens,total_tokens
spatialgame1_v0,0,20,0.5,0.9,1.0,0.9,0.55,0.5,0.3,0.5,0.1,29.298888,651.1,2225.45,2876.55,13022,44509,57531
spatialgame1_v0,1,20,0.5,0.95,1.0,0.95,0.8,0.4,0.3,0.5,0.05,25.492672,666.0,1992.0,2658.0,13320,39840,53160
spatialgame1_v0,2,20,0.5,1.0,1.0,1.0,0.55,0.65,0.35,0.5,0.0,17.110969,682.0,1393.65,2075.65,13640,27873,41513
spatialgame1_v0,3,20,0.5,1.0,1.0,1.0,0.6,0.4,0.15,0.5,0.0,22.888494,700.0,1840.5,2540.5,14000,36810,50810
spatialgame1_v0,4,20,0.5,0.85,1.0,0.85,0.3,0.35,0.05,0.5,0.15,42.138998,720.0,3172.95,3892.95,14400,63459,77859
spatialgame2_v0,0,20,0.5,0.8,1.0,0.8,0.1,0.1,0.05,0.5,0.2,55.498509,656.0,4171.0,4827.0,13120,83420,96540
spatialgame2_v0,1,20,0.5,0.95,1.0,0.95,0.2,0.05,0.0,0.5,0.05,33.687344,670.0,2628.15,3298.15,13400,52563,65963
spatialgame2_v0,2,20,0.5,0.95,1.0,0.95,0.3,0.05,0.0,0.5,0.05,33.363247,686.0,2610.35,3296.35,13720,52207,65927
spatialgame2_v0,3,20,0.5,0.9,1.0,0.9,0.1,0.15,0.0,0.5,0.1,50.266059,704.0,3856.5,4560.5,14080,77130,91210
spatialgame2_v0,4,20,0.5,0.95,1.0,0.95,0.1,0.1,0.0,0.5,0.05,37.263223,724.0,2905.2,3629.2,14480,58104,72584
spatialgame3_v0,0,20,0.5,0.9,1.0,0.9,0.25,0.45,0.15,0.5,0.1,38.618679,665.0,2961.05,3626.05,13300,59221,72521
spatialgame3_v0,1,20,0.5,0.95,1.0,0.95,0.5,0.55,0.25,0.5,0.05,31.854578,679.0,2492.7,3171.7,13580,49854,63434
spatialgame3_v0,2,20,0.5,1.0,1.0,1.0,0.75,0.45,0.3,0.5,0.0,25.566919,695.0,2055.2,2750.2,13900,41104,55004
spatialgame3_v0,3,20,0.5,0.9,1.0,0.9,0.55,0.35,0.15,0.5,0.1,44.905404,713.0,3441.6,4154.6,14260,68832,83092
spatialgame3_v0,4,20,0.5,0.8,1.0,0.8,0.35,0.35,0.2,0.5,0.1,39.293724,733.0,3009.4,3742.4,14660,60188,74848
