thinking,game,level,cases,raw_contract_rate,sanitized_contract_rate,action_parse_rate,position_parse_rate,row_match_rate,col_match_rate,exact_position_rate,had_think_rate,residual_think_rate,mean_latency_seconds,mean_input_tokens,mean_output_tokens,mean_total_tokens,total_input_tokens,total_output_tokens,total_tokens
off,spatialgame1_v0,0,10,1.0,1.0,1.0,1.0,0.6,0.5,0.4,0.0,0.0,0.322387,653.1,24.6,677.7,6531,246,6777
off,spatialgame1_v0,1,10,1.0,1.0,1.0,1.0,0.9,0.5,0.4,0.0,0.0,0.323432,668.0,25.2,693.2,6680,252,6932
off,spatialgame1_v0,2,10,1.0,1.0,1.0,1.0,0.7,0.7,0.5,0.0,0.0,0.315514,684.0,24.6,708.6,6840,246,7086
off,spatialgame1_v0,3,10,1.0,1.0,1.0,1.0,0.6,0.4,0.2,0.0,0.0,0.316468,702.0,24.4,726.4,7020,244,7264
off,spatialgame1_v0,4,10,1.0,1.0,1.0,1.0,0.4,0.4,0.1,0.0,0.0,0.314751,722.0,24.1,746.1,7220,241,7461
off,spatialgame2_v0,0,10,1.0,1.0,1.0,1.0,0.1,0.0,0.0,0.0,0.0,0.317737,658.0,24.0,682.0,6580,240,6820
off,spatialgame2_v0,1,10,1.0,1.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,0.317866,672.0,24.8,696.8,6720,248,6968
off,spatialgame2_v0,2,10,1.0,1.0,1.0,1.0,0.6,0.0,0.0,0.0,0.0,0.315443,688.0,24.4,712.4,6880,244,7124
off,spatialgame2_v0,3,10,1.0,1.0,1.0,1.0,0.2,0.2,0.0,0.0,0.0,0.31275,706.0,24.0,730.0,7060,240,7300
off,spatialgame2_v0,4,10,1.0,1.0,1.0,1.0,0.1,0.2,0.0,0.0,0.0,0.326984,726.0,25.0,751.0,7260,250,7510
off,spatialgame3_v0,0,10,1.0,1.0,1.0,1.0,0.1,0.4,0.1,0.0,0.0,0.369111,667.0,28.4,695.4,6670,284,6954
off,spatialgame3_v0,1,10,1.0,1.0,1.0,1.0,0.6,0.5,0.4,0.0,0.0,0.356857,681.0,28.0,709.0,6810,280,7090
off,spatialgame3_v0,2,10,1.0,1.0,1.0,1.0,0.8,0.4,0.4,0.0,0.0,0.334708,697.0,26.1,723.1,6970,261,7231
off,spatialgame3_v0,3,10,1.0,1.0,1.0,1.0,0.6,0.2,0.1,0.0,0.0,0.333629,715.0,25.7,740.7,7150,257,7407
off,spatialgame3_v0,4,10,1.0,1.0,1.0,1.0,0.4,0.4,0.3,0.0,0.0,0.326469,735.0,25.3,760.3,7350,253,7603
on,spatialgame1_v0,0,10,0.0,0.8,1.0,0.8,0.5,0.5,0.2,1.0,0.2,58.275389,649.1,4426.3,5075.4,6491,44263,50754
on,spatialgame1_v0,1,10,0.0,0.9,1.0,0.9,0.7,0.3,0.2,1.0,0.1,50.661912,664.0,3958.8,4622.8,6640,39588,46228
on,spatialgame1_v0,2,10,0.0,1.0,1.0,1.0,0.4,0.6,0.2,1.0,0.0,33.906424,680.0,2762.7,3442.7,6800,27627,34427
on,spatialgame1_v0,3,10,0.0,1.0,1.0,1.0,0.6,0.4,0.1,1.0,0.0,45.46052,698.0,3656.6,4354.6,6980,36566,43546
on,spatialgame1_v0,4,10,0.0,0.7,1.0,0.7,0.2,0.3,0.0,1.0,0.3,83.963244,718.0,6321.8,7039.8,7180,63218,70398
on,spatialgame2_v0,0,10,0.0,0.6,1.0,0.6,0.1,0.2,0.1,1.0,0.4,110.679281,654.0,8318.0,8972.0,6540,83180,89720
on,spatialgame2_v0,1,10,0.0,0.9,1.0,0.9,0.2,0.1,0.0,1.0,0.1,67.056822,668.0,5231.5,5899.5,6680,52315,58995
on,spatialgame2_v0,2,10,0.0,0.9,1.0,0.9,0.0,0.1,0.0,1.0,0.1,66.411051,684.0,5196.3,5880.3,6840,51963,58803
on,spatialgame2_v0,3,10,0.0,0.8,1.0,0.8,0.0,0.1,0.0,1.0,0.2,100.219369,702.0,7689.0,8391.0,7020,76890,83910
on,spatialgame2_v0,4,10,0.0,0.9,1.0,0.9,0.1,0.0,0.0,1.0,0.1,74.199461,722.0,5785.4,6507.4,7220,57854,65074
on,spatialgame3_v0,0,10,0.0,0.8,1.0,0.8,0.4,0.5,0.2,1.0,0.2,76.868246,663.0,5893.7,6556.7,6630,58937,65567
on,spatialgame3_v0,1,10,0.0,0.9,1.0,0.9,0.4,0.6,0.1,1.0,0.1,63.352299,677.0,4957.4,5634.4,6770,49574,56344
on,spatialgame3_v0,2,10,0.0,1.0,1.0,1.0,0.7,0.5,0.2,1.0,0.0,50.799129,693.0,4084.3,4777.3,6930,40843,47773
on,spatialgame3_v0,3,10,0.0,0.8,1.0,0.8,0.5,0.5,0.2,1.0,0.2,89.47718,711.0,6857.5,7568.5,7110,68575,75685
on,spatialgame3_v0,4,10,0.0,0.6,1.0,0.6,0.3,0.3,0.1,1.0,0.2,78.260979,731.0,5993.5,6724.5,7310,59935,67245
