game,cases,raw_contract_rate,sanitized_contract_rate,action_parse_rate,position_parse_rate,row_match_rate,col_match_rate,exact_position_rate,had_think_rate,residual_think_rate,mean_latency_seconds,mean_input_tokens,mean_output_tokens,mean_total_tokens,total_input_tokens,total_output_tokens,total_tokens
spatialgame1_v0,100,0.5,0.88,1.0,0.88,0.85,0.51,0.49,0.5,0.01,28.333535,681.82,1235.42,1917.24,68182,123542,191724
spatialgame2_v0,100,0.5,0.72,1.0,0.72,0.2,0.14,0.06,0.5,0.06,53.432269,696.0,2347.6,3043.6,69600,234760,304360
spatialgame3_v0,100,0.5,0.77,1.0,0.77,0.71,0.39,0.37,0.5,0.09,67.445943,709.0,2933.4,3642.4,70900,293340,364240
