level,cases,raw_contract_rate,sanitized_contract_rate,action_parse_rate,position_parse_rate,row_match_rate,col_match_rate,exact_position_rate,had_think_rate,residual_think_rate,mean_latency_seconds,mean_input_tokens,mean_output_tokens,mean_total_tokens,total_input_tokens,total_output_tokens,total_tokens
0,60,0.5,0.616667,1.0,0.966667,0.3,0.366667,0.116667,0.5,0.033333,11.20466,649.367,1855.417,2504.783,38962,111325,150287
1,60,0.5,0.533333,1.0,0.966667,0.433333,0.283333,0.083333,0.5,0.033333,11.833313,663.667,1958.367,2622.033,39820,117502,157322
2,60,0.5,0.65,1.0,0.95,0.266667,0.25,0.05,0.5,0.05,16.041043,679.667,2608.783,3288.45,40780,156527,197307
3,60,0.5,0.583333,1.0,0.966667,0.366667,0.266667,0.05,0.5,0.033333,14.570481,697.667,2394.733,3092.4,41860,143684,185544
4,60,0.5,0.616667,1.0,0.9,0.283333,0.216667,0.05,0.5,0.1,20.227674,717.667,3189.133,3906.8,43060,191348,234408
