game,level,cases,raw_contract_rate,sanitized_contract_rate,action_parse_rate,position_parse_rate,row_match_rate,col_match_rate,exact_position_rate,had_think_rate,residual_think_rate,mean_latency_seconds,mean_input_tokens,mean_output_tokens,mean_total_tokens,total_input_tokens,total_output_tokens,total_tokens
spatialgame1_v0,0,20,0.0,0.0,0.95,0.45,0.0,0.0,0.0,0.5,0.35,22.908043,804.1,5886.65,6690.75,16082,117733,133815
spatialgame1_v0,1,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.4,25.895175,814.0,6608.0,7422.0,16280,132160,148440
spatialgame1_v0,2,20,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.5,0.35,22.660672,830.0,5786.15,6616.15,16600,115723,132323
spatialgame1_v0,3,20,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.5,0.4,25.565156,848.0,6487.0,7335.0,16960,129740,146700
spatialgame1_v0,4,20,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.45,28.645647,868.0,7247.05,8115.05,17360,144941,162301
spatialgame2_v0,0,20,0.0,0.0,1.0,0.45,0.0,0.0,0.0,0.5,0.35,22.723898,815.0,5809.65,6624.65,16300,116193,132493
spatialgame2_v0,1,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.35,22.701795,829.0,5799.95,6628.95,16580,115999,132579
spatialgame2_v0,2,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.05,4.153708,845.0,1159.9,2004.9,16900,23198,40098
spatialgame2_v0,3,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.2,13.351627,863.0,3447.95,4310.95,17260,68959,86219
spatialgame2_v0,4,20,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.5,0.25,16.73286,883.0,4310.25,5193.25,17660,86205,103865
spatialgame3_v0,0,20,0.0,0.0,0.85,0.3,0.0,0.0,0.0,0.5,0.25,17.050408,807.0,4440.3,5247.3,16140,88806,104946
spatialgame3_v0,1,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.2,14.228514,821.0,3760.7,4581.7,16420,75214,91634
spatialgame3_v0,2,20,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.15,10.80797,837.0,2863.75,3700.75,16740,57275,74015
spatialgame3_v0,3,20,0.0,0.0,0.45,0.05,0.0,0.0,0.0,0.5,0.25,16.521366,855.0,4252.5,5107.5,17100,85050,102150
spatialgame3_v0,4,20,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.35,23.011439,875.0,5888.35,6763.35,17500,117767,135267
